,index,facility_id,Longitude,Latitude
512,22140,8300611,-81.762,35.216
513,22144,8508011,-80.602,35.732
514,22146,9510111,-86.292,42.323
515,22212,8491111,-78.974,34.588
516,22220,2992611,-95.841,41.18
517,22228,8490411,-79.74,34.839
518,22258,7239211,-82.697,43.102
519,22260,7239111,-82.486,42.769
520,22290,4979111,-84.519,35.899
521,22482,7826011,-79.071,36.484
522,22490,5363811,-89.562,36.515
523,22494,4898511,-98.477,28.704
524,22496,8306411,-80.699,32.21
525,22502,7494511,-93.259,37.109
526,22516,7496411,-93.388,37.153
527,22520,5620911,-85.49,42.28
528,22522,7735111,-109.163,34.318
529,22534,7735011,-109.272,34.578
530,22546,6131311,-76.221,39.442
531,22550,8419211,-110.597,41.758
532,22556,8370411,-80.961,35.598
533,22564,6271711,-80.333,39.385
534,22570,4207711,-104.819,42.111
535,22582,4951511,-80.166,34.418
536,22618,5597111,-108.082,35.416
537,22620,5998011,-77.465,39.207
538,22624,922611,-81.608,30.422
539,22640,5617211,-98.32,29.306
540,22650,552611,-72.1,41.429
541,22660,6418211,-105.777,42.838
542,22678,4948311,-82.435,34.602
543,22684,17167211,-71.169,44.471
544,22688,642811,-83.18,30.375
545,22694,3942411,-91.093,41.318
546,22716,3940211,-91.638,41.944
547,22720,6473711,-84.226,43.585
548,22736,9219711,-97.224,35.687
549,22744,643111,-81.922,28.08
550,22748,751911,-81.99,27.727
551,22752,8007311,-96.725,34.964
552,22758,8212411,-95.699,36.426
553,22762,8547211,-77.986,34.283
554,22774,2731711,-84.202,30.163
555,22780,3779111,-92.863,42.049
556,22786,6093411,-83.443,42.549
557,22798,5509811,-90.234,41.808
558,22808,6884511,-81.421,38.205
559,22822,4187811,-84.69,44.604
560,22830,3962711,-108.782,41.738
561,22854,717211,-82.788,28.184
562,22858,5258811,-90.262,38.131
563,22862,7053011,-89.218,33.376
564,22900,844711,-71.896,41.872
565,22906,8178911,-71.468,43.141
566,22914,15259811,-89.946,35.664
567,22918,900011,-80.332,25.436
568,22932,7529611,-93.933,38.313
569,22944,4036111,-95.038,33.092
570,22948,4164411,-94.843,33.056
571,22956,5745311,-101.748,35.299
572,22962,13408411,-97.061,30.567
573,22966,4204811,-97.063,30.566
574,22968,15628511,-96.955,31.475
575,22970,5650511,-96.253,31.424
576,22998,6783411,-90.291,38.916
577,23002,4782811,-81.296,39.368
578,23006,715111,-84.4,30.452
579,23016,1003111,-87.06,33.632
580,23024,6032111,-90.837,38.564
581,23032,893911,-92.139,34.424
582,23042,7779111,-84.755,42.032
583,23046,8532811,-122.435,48.455
584,23050,8086311,-101.32,47.283
585,23054,538611,-82.403,27.794
586,23078,6472811,-83.67,43.085
587,23082,6788111,-89.026,30.439
588,23088,6652811,-79.358,33.331
589,23100,5553011,-87.654,40.106
590,23230,9701111,-87.751,41.443
591,23300,4688511,-87.753,41.44
592,23363,4590011,-87.942,41.393
593,23417,4506411,-88.116,41.442
594,23453,4106911,-87.62,41.429
595,23490,8018111,-88.062,41.633
596,23533,7973011,-88.115,41.493
597,23769,15640311,-83.7,33.837
598,23798,5759211,-70.52,44.532
599,23806,3220911,-88.225,41.815
600,23896,7808911,-88.858,37.21
601,23918,5535711,-88.867,37.217
602,24007,7340311,-89.405,39.058
603,24051,7338011,-90.175,38.661
604,24096,7791011,-90.134,38.863
605,24177,9725911,-87.545,41.718
606,24195,9728111,-87.556,41.684
607,24213,9723111,-88.245,42.0
608,24321,1945711,-88.539,38.7
609,24357,5422711,-89.662,40.596
610,24390,2612411,-82.82,34.339
611,24426,15559111,-84.991,33.358
612,24522,7954611,-89.856,38.204
613,24555,7377311,-89.605,39.754
614,24577,4541611,-89.589,39.823
615,24617,5457411,-90.436,39.57
616,24671,9698311,-88.759,39.224
617,24707,4725911,-88.477,39.279
618,24779,5483011,-89.405,41.829
619,24851,10824211,-89.606,41.775
620,24923,8164511,-88.953,37.619
621,24992,9698111,-89.101,42.239
622,25019,15578911,-83.847,32.984
623,25025,15602211,-85.278,33.948
624,25180,2587011,-88.276,38.937
625,25200,1786811,-88.24,42.094
626,25236,9692211,-88.257,41.481
627,25312,5390311,-87.895,42.477
628,25366,7792311,-87.814,42.382
629,26195,7757511,-114.994,35.786
630,26225,12770211,-114.96,36.409
631,26237,12768311,-114.92,36.384
632,26261,9399011,-114.901,36.429
633,26279,9398511,-114.96,36.414
634,26315,9398411,-115.356,35.613
635,26327,10626511,-115.036,36.139
636,26351,9399211,-115.124,36.232
637,26381,8404911,-80.044,40.466
638,26399,2990311,-79.769,40.545
639,26579,5823511,-70.156,43.751
640,26627,8028611,-70.378,43.655
641,26643,5677011,-70.242,44.506
642,26691,7719211,-68.71,44.823
643,26707,1929211,-89.497,39.591
644,26749,2585811,-89.511,37.657
645,26767,2670611,-88.859,39.103
646,26776,2622911,-88.398,40.471
647,26812,4533911,-89.346,38.114
648,26884,9686711,-88.599,40.107
649,26938,4685311,-89.315,41.303
650,26980,4594711,-90.28,41.712
651,27010,3206511,-89.982,40.466
652,27021,3348811,-88.33,41.413
653,27048,10857911,-89.667,38.279
654,27087,5281411,-96.737,40.732
655,27094,5281111,-96.784,40.56
656,27143,9701511,-89.013,38.761
657,27179,7337411,-90.079,40.282
658,27190,8387311,-68.803,44.574
659,27206,5295111,-88.013,44.541
660,27325,7642611,-88.068,44.448
661,27329,9091111,-122.914,46.623
662,27353,6281311,-122.857,46.756
663,27732,7049311,-88.73,42.855
664,27738,6765911,-88.688,43.167
665,27766,901211,-82.42,27.907
666,28348,4919611,-121.475,38.512
667,28358,9434711,-96.808,40.329
668,28372,6031711,-90.177,36.585
669,28388,922311,-81.783,26.697
670,28584,7179611,-87.656,44.082
671,28768,8211811,-99.702,40.694
672,28831,7078511,-89.65,44.858
673,28849,16843311,-89.63,44.888
674,29056,5201711,-89.839,36.868
675,29269,6229211,-87.87,43.384
676,29320,5646011,-71.08,42.363
677,29336,5233811,-71.313,42.631
678,29602,6341911,-82.533,38.367
679,29652,6341811,-82.594,38.344
680,29986,2712911,-82.558,28.366
681,30025,2712411,-82.189,28.375
682,30088,10734511,-94.481,38.682
683,30095,7359211,-94.301,38.793
684,30159,7357911,-94.277,38.787
685,30270,6746711,-88.497,43.735
686,30316,6748911,-91.006,42.725
687,30392,6748311,-90.985,42.708
688,30460,7991911,-108.439,36.802
689,30479,13646111,-108.214,36.714
690,30509,7711211,-91.233,43.559
691,30537,2797311,-81.333,28.904
692,30547,845211,-81.328,28.842
693,30723,7303711,-95.778,40.622
694,30739,5235111,-88.15,43.196
695,30807,9740311,-81.812,28.053
696,30817,552011,-81.869,27.789
697,30858,8514711,-81.849,27.747
698,30874,752011,-81.923,28.049
699,31091,3197811,-81.825,27.87
700,31105,2312411,-81.878,27.849
701,31186,7269411,-93.715,39.073
702,31200,12779711,-80.378,27.385
703,31212,7766511,-101.142,41.081
704,31250,2492411,-87.116,30.566
705,31268,9012411,-87.88,43.753
706,31270,7692911,-87.71,43.72
707,31411,590411,-80.767,28.468
708,31456,591111,-80.795,28.365
709,31478,590511,-80.783,28.492
710,31667,535011,-82.389,29.758
711,31676,15561111,-82.396,29.767
712,31703,8500311,-82.349,29.64
713,31717,536811,-82.322,29.646
714,31731,4958511,-91.905,44.308
715,31766,7404611,-107.783,32.299
716,31784,640211,-81.554,30.417
717,31889,15032711,-81.517,30.158
718,31897,641211,-81.948,30.32
719,31907,557811,-81.626,30.365
720,32448,752711,-87.227,30.567
721,32564,7184711,-90.038,34.993
722,32570,7673611,-89.42,43.486
