country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,NH3,0.9002,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,CO,3.7339,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,PM10-PRI,2.3553,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,PM25-PRI,2.3553,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,NOX,3.0293,95.704,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,107028,0.0903,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,8,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,50000,0.928,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,8,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99191313,96116712,138834814,39,000002,000001,000002,20100202,75070,0.1469,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.843739,33.866156,,,12500,HP,,125,160,139,,,,,TXCEQ,8,2015TXCEQ,,,,57865_G_E01,2015,20180117,,,,,79311,1567,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99192813,96118312,138836314,39,000017,000017,000017,20100202,NOX,2.9104,95.704,ANTELOPE STATION,2,70,4,700,,77,22111,-101.84375,33.8657,,,12500,HP,,125,160,139,,,,,TXCEQ,7,2015TXCEQ,,,,57865_G_E08,2015,20180117,,,,,79311,1551,,,,,,,,,,,,,,,,,,,,,,,,,
US,48189,,15625011,99192813,96118312,138836314,39,000017,000017,000017,20100202,50000,0.9231,,ANTELOPE STATION,2,70,4,700,,77,22111,-101.84375,33.8657,,,12500,HP,,125,160,139,,,,,TXCEQ,8,2015TXCEQ,,,,57865_G_E08,2015,20180117,,,,,79311,1551,,,,,,,,,,,,,,,,,,,,,,,,,
